employee,day,login_hour,files_accessed,emails_sent,usb_used,after_hours,is_malicious
Joseph Johns,70,9,35,17,0,0,0
Joseph Johns,71,7,26,10,0,0,0
Joseph Johns,72,8,35,13,0,0,0
Joseph Johns,73,9,39,6,0,0,0
Joseph Johns,74,7,34,20,0,0,0
Joseph Johns,75,8,30,11,0,0,0
Joseph Johns,76,8,41,17,0,0,0
Joseph Johns,77,9,46,14,0,0,0
Joseph Johns,78,7,36,6,0,0,0
Joseph Johns,79,9,43,8,0,0,0
Joseph Johns,80,8,45,13,0,0,0
Joseph Johns,81,8,27,17,0,0,0
Joseph Johns,82,7,29,8,0,0,0
Joseph Johns,83,7,45,16,0,0,0
Joseph Johns,84,7,36,13,0,0,0
Joseph Johns,85,9,45,12,0,0,0
Joseph Johns,86,7,35,9,0,0,0
Joseph Johns,87,8,44,13,0,0,0
Joseph Johns,88,8,38,18,0,0,0
Joseph Johns,89,8,38,15,0,0,0
Timothy Patel,0,10,47,14,0,0,0
Timothy Patel,1,11,49,11,0,0,0
Timothy Patel,2,9,37,13,0,0,0
Timothy Patel,3,9,41,14,0,0,0
Timothy Patel,4,10,45,19,0,0,0
Timothy Patel,5,10,53,9,0,0,0
Timothy Patel,6,9,40,12,0,0,0
Timothy Patel,7,10,44,14,0,0,0
Timothy Patel,8,10,43,20,0,0,0
Timothy Patel,9,11,37,15,0,0,0
Timothy Patel,10,9,41,10,0,0,0
Timothy Patel,11,11,45,15,0,0,0
Timothy Patel,12,10,42,9,0,0,0
Timothy Patel,13,10,35,14,0,0,0
Timothy Patel,14,11,52,5,0,0,0
Timothy Patel,15,11,47,10,0,0,0
Timothy Patel,16,9,47,5,0,0,0
Timothy Patel,17,11,38,11,0,0,0
Timothy Patel,18,11,34,6,0,0,0
Timothy Patel,19,9,43,19,0,0,0
Timothy Patel,20,11,42,8,0,0,0
Timothy Patel,21,9,45,16,0,0,0
Timothy Patel,22,10,48,15,0,0,0
Timothy Patel,23,10,40,19,0,0,0
Timothy Patel,24,9,47,5,0,0,0
Timothy Patel,25,11,39,12,0,0,0
Timothy Patel,26,9,41,16,0,0,0
Timothy Patel,27,9,41,19,0,0,0
Timothy Patel,28,11,53,6,0,0,0
Timothy Patel,29,9,51,17,0,0,0
Timothy Patel,30,10,38,11,0,0,0
Timothy Patel,31,10,41,8,0,0,0
Timothy Patel,32,10,52,8,0,0,0
Timothy Patel,33,10,36,11,0,0,0
Timothy Patel,34,11,43,20,0,0,0
Timothy Patel,35,9,35,20,0,0,0
Timothy Patel,36,11,52,12,0,0,0
Timothy Patel,37,11,41,10,0,0,0
Timothy Patel,38,9,52,14,0,0,0
Timothy Patel,39,11,39,14,0,0,0
Timothy Patel,40,11,52,5,0,0,0
Timothy Patel,41,10,43,15,0,0,0
Timothy Patel,42,10,44,5,0,0,0
Timothy Patel,43,9,52,17,0,0,0
Timothy Patel,44,11,46,19,0,0,0
Timothy Patel,45,11,39,11,0,0,0
Timothy Patel,46,9,36,18,0,0,0
Timothy Patel,47,10,54,17,0,0,0
Timothy Patel,48,9,37,5,0,0,0
Timothy Patel,49,9,35,9,0,0,0
Timothy Patel,50,11,45,7,0,0,0
Timothy Patel,51,10,49,12,0,0,0
Timothy Patel,52,11,42,19,0,0,0
Timothy Patel,53,11,34,12,0,0,0
Timothy Patel,54,11,49,7,0,0,0
Timothy Patel,55,11,48,17,0,0,0
Timothy Patel,56,9,48,7,0,0,0
Timothy Patel,57,11,34,17,0,0,0
Timothy Patel,58,10,38,5,0,0,0
Timothy Patel,59,10,36,17,0,0,0
Timothy Patel,60,9,35,9,0,0,0
Timothy Patel,61,10,44,19,0,0,0
Timothy Patel,62,10,45,19,0,0,0
Timothy Patel,63,10,51,9,0,0,0
Timothy Patel,64,11,52,13,0,0,0
Timothy Patel,65,9,46,10,0,0,0
Timothy Patel,66,9,54,15,0,0,0
Timothy Patel,67,9,54,12,0,0,0
Timothy Patel,68,9,39,14,0,0,0
Timothy Patel,69,9,42,18,0,0,0
Timothy Patel,70,11,53,17,0,0,0
Timothy Patel,71,10,41,8,0,0,0
Timothy Patel,72,10,52,10,0,0,0
Timothy Patel,73,10,44,17,0,0,0
Timothy Patel,74,9,53,11,0,0,0
Timothy Patel,75,9,36,15,0,0,0
Timothy Patel,76,10,44,7,0,0,0
Timothy Patel,77,9,45,10,0,0,0
Timothy Patel,78,10,35,17,0,0,0
Timothy Patel,79,11,45,11,0,0,0
Timothy Patel,80,9,41,7,0,0,0
Timothy Patel,81,9,38,20,0,0,0
Timothy Patel,82,9,37,5,0,0,0
Timothy Patel,83,9,47,16,0,0,0
Timothy Patel,84,9,47,16,0,0,0
Timothy Patel,85,9,40,16,0,0,0
Timothy Patel,86,11,41,8,0,0,0
Timothy Patel,87,10,41,15,0,0,0
Timothy Patel,88,11,46,10,0,0,0
Timothy Patel,89,11,42,17,0,0,0
Scott Smith,0,8,37,16,0,0,0
Scott Smith,1,8,42,15,0,0,0
Scott Smith,2,8,45,10,0,0,0
Scott Smith,3,7,49,17,0,0,0
Scott Smith,4,9,30,5,0,0,0
Scott Smith,5,8,38,20,0,0,0
Scott Smith,6,8,33,11,0,0,0
Scott Smith,7,8,43,7,0,0,0
Scott Smith,8,7,48,11,0,0,0
Scott Smith,9,7,50,18,0,0,0
Scott Smith,10,9,36,9,0,0,0
Scott Smith,11,8,44,15,0,0,0
Scott Smith,12,9,38,20,0,0,0
Scott Smith,13,7,32,20,0,0,0
Scott Smith,14,7,33,10,0,0,0
Scott Smith,15,8,47,13,0,0,0
Scott Smith,16,9,34,16,0,0,0
Scott Smith,17,9,33,20,0,0,0
Scott Smith,18,9,42,18,0,0,0
Scott Smith,19,8,30,14,0,0,0
Scott Smith,20,7,32,7,0,0,0
Scott Smith,21,9,42,8,0,0,0
Scott Smith,22,7,48,18,0,0,0
Scott Smith,23,7,33,16,0,0,0
Scott Smith,24,7,32,13,0,0,0
Scott Smith,25,8,44,20,0,0,0
Scott Smith,26,8,38,19,0,0,0
Scott Smith,27,7,35,19,0,0,0
Scott Smith,28,9,44,10,0,0,0
Scott Smith,29,8,46,10,0,0,0
Scott Smith,30,7,49,8,0,0,0
Scott Smith,31,7,40,18,0,0,0
Scott Smith,32,9,31,20,0,0,0
Scott Smith,33,7,50,13,0,0,0
Scott Smith,34,9,48,19,0,0,0
Scott Smith,35,7,43,7,0,0,0
Scott Smith,36,7,46,11,0,0,0
Scott Smith,37,7,37,19,0,0,0
Scott Smith,38,8,44,17,0,0,0
Scott Smith,39,9,45,16,0,0,0
Scott Smith,40,8,48,11,0,0,0
Scott Smith,41,7,50,16,0,0,0
Scott Smith,42,7,49,7,0,0,0
Scott Smith,43,8,39,18,0,0,0
Scott Smith,44,8,31,14,0,0,0
Scott Smith,45,7,42,15,0,0,0
Scott Smith,46,9,35,16,0,0,0
Scott Smith,47,7,33,6,0,0,0
Scott Smith,48,8,33,16,0,0,0
Scott Smith,49,8,34,18,0,0,0
Scott Smith,50,7,34,10,0,0,0
Scott Smith,51,9,47,9,0,0,0
Scott Smith,52,9,49,20,0,0,0
Scott Smith,53,8,40,20,0,0,0
Scott Smith,54,8,45,11,0,0,0
Scott Smith,55,9,41,19,0,0,0
Scott Smith,56,7,33,12,0,0,0
Scott Smith,57,8,44,6,0,0,0
Scott Smith,58,9,48,11,0,0,0
Scott Smith,59,8,44,10,0,0,0
Scott Smith,60,9,40,18,0,0,0
Scott Smith,61,9,36,20,0,0,0
Scott Smith,62,9,33,5,0,0,0
Scott Smith,63,7,44,14,0,0,0
Scott Smith,64,9,46,17,0,0,0
Scott Smith,65,9,49,11,0,0,0
Scott Smith,66,9,38,10,0,0,0
Scott Smith,67,7,44,17,0,0,0
Scott Smith,68,7,50,13,0,0,0
Scott Smith,69,9,34,18,0,0,0
Scott Smith,70,8,34,5,0,0,0
Scott Smith,71,9,41,13,0,0,0
Scott Smith,72,7,39,11,0,0,0
Scott Smith,73,8,40,20,0,0,0
Scott Smith,74,9,43,19,0,0,0
Scott Smith,75,7,44,6,0,0,0
Scott Smith,76,9,40,15,0,0,0
Scott Smith,77,9,35,9,0,0,0
Scott Smith,78,8,31,8,0,0,0
Scott Smith,79,7,43,10,0,0,0
Scott Smith,80,8,44,15,0,0,0
Scott Smith,81,8,45,9,0,0,0
Scott Smith,82,9,38,10,0,0,0
Scott Smith,83,7,40,13,0,0,0
Scott Smith,84,7,50,20,0,0,0
Scott Smith,85,7,34,14,0,0,0
Scott Smith,86,9,30,5,0,0,0
Scott Smith,87,7,34,16,0,0,0
Scott Smith,88,7,44,9,0,0,0
Scott Smith,89,9,30,7,0,0,0
Stacey Reynolds,0,11,33,10,0,0,0
Stacey Reynolds,1,10,20,14,0,0,0
Stacey Reynolds,2,11,21,5,0,0,0
Stacey Reynolds,3,10,28,8,0,0,0
Stacey Reynolds,4,10,19,20,0,0,0
Stacey Reynolds,5,10,20,19,0,0,0
Stacey Reynolds,6,9,26,11,0,0,0
Stacey Reynolds,7,9,35,14,0,0,0
Stacey Reynolds,8,11,19,12,0,0,0
Stacey Reynolds,9,9,26,7,0,0,0
Stacey Reynolds,10,10,24,15,0,0,0
Stacey Reynolds,11,11,23,9,0,0,0
Stacey Reynolds,12,9,29,13,0,0,0
Stacey Reynolds,13,9,17,14,0,0,0
Stacey Reynolds,14,10,16,17,0,0,0
Stacey Reynolds,15,11,17,18,0,0,0
Stacey Reynolds,16,9,30,9,0,0,0
Stacey Reynolds,17,11,28,13,0,0,0
Stacey Reynolds,18,9,15,9,0,0,0
Stacey Reynolds,19,10,32,17,0,0,0
Stacey Reynolds,20,11,31,15,0,0,0
Stacey Reynolds,21,11,19,12,0,0,0
Stacey Reynolds,22,9,24,7,0,0,0
Stacey Reynolds,23,10,26,10,0,0,0
Stacey Reynolds,24,9,23,19,0,0,0
Stacey Reynolds,25,11,28,15,0,0,0
Stacey Reynolds,26,11,32,16,0,0,0
Stacey Reynolds,27,10,33,17,0,0,0
Stacey Reynolds,28,9,23,14,0,0,0
Stacey Reynolds,29,10,19,20,0,0,0
Stacey Reynolds,30,11,16,20,0,0,0
Stacey Reynolds,31,11,29,10,0,0,0
Stacey Reynolds,32,10,26,7,0,0,0
Stacey Reynolds,33,11,17,6,0,0,0
Stacey Reynolds,34,10,16,18,0,0,0
Stacey Reynolds,35,10,26,9,0,0,0
Stacey Reynolds,36,9,21,7,0,0,0
Stacey Reynolds,37,10,34,17,0,0,0
Stacey Reynolds,38,9,20,12,0,0,0
Stacey Reynolds,39,9,26,18,0,0,0
Stacey Reynolds,40,11,19,16,0,0,0
Stacey Reynolds,41,11,34,16,0,0,0
Stacey Reynolds,42,10,27,13,0,0,0
Stacey Reynolds,43,9,19,14,0,0,0
Stacey Reynolds,44,11,27,11,0,0,0
Stacey Reynolds,45,11,16,14,0,0,0
Stacey Reynolds,46,9,28,17,0,0,0
Stacey Reynolds,47,11,32,10,0,0,0
Stacey Reynolds,48,9,35,19,0,0,0
Stacey Reynolds,49,11,20,12,0,0,0
Stacey Reynolds,50,9,18,18,0,0,0
Stacey Reynolds,51,9,25,13,0,0,0
Stacey Reynolds,52,10,33,19,0,0,0
Stacey Reynolds,53,11,24,14,0,0,0
Stacey Reynolds,54,9,21,8,0,0,0
Stacey Reynolds,55,10,23,11,0,0,0
Stacey Reynolds,56,11,26,9,0,0,0
Stacey Reynolds,57,10,28,11,0,0,0
Stacey Reynolds,58,11,28,8,0,0,0
Stacey Reynolds,59,11,21,20,0,0,0
Stacey Reynolds,60,11,27,13,0,0,0
Stacey Reynolds,61,10,30,18,0,0,0
Stacey Reynolds,62,10,23,6,0,0,0
Stacey Reynolds,63,9,24,20,0,0,0
Stacey Reynolds,64,9,32,15,0,0,0
Stacey Reynolds,65,9,30,15,0,0,0
Stacey Reynolds,66,10,26,11,0,0,0
Stacey Reynolds,67,11,17,11,0,0,0
Stacey Reynolds,68,11,34,9,0,0,0
Stacey Reynolds,69,11,32,14,0,0,0
Stacey Reynolds,70,10,19,19,0,0,0
Stacey Reynolds,71,11,22,20,0,0,0
Stacey Reynolds,72,11,21,5,0,0,0
Stacey Reynolds,73,9,22,15,0,0,0
Stacey Reynolds,74,11,26,10,0,0,0
Stacey Reynolds,75,10,29,17,0,0,0
Stacey Reynolds,76,10,27,9,0,0,0
Stacey Reynolds,77,9,30,19,0,0,0
Stacey Reynolds,78,10,26,9,0,0,0
Stacey Reynolds,79,11,15,15,0,0,0
Stacey Reynolds,80,9,22,13,0,0,0
Stacey Reynolds,81,9,34,10,0,0,0
Stacey Reynolds,82,10,30,14,0,0,0
Stacey Reynolds,83,9,15,19,0,0,0
Stacey Reynolds,84,9,33,18,0,0,0
Stacey Reynolds,85,10,18,20,0,0,0
Stacey Reynolds,86,10,20,8,0,0,0
Stacey Reynolds,87,9,18,14,0,0,0
Stacey Reynolds,88,9,30,11,0,0,0
Stacey Reynolds,89,11,34,18,0,0,0
Daniel Stewart,0,8,32,16,0,0,0
Daniel Stewart,1,9,40,13,0,0,0
Daniel Stewart,2,8,33,13,0,0,0
Daniel Stewart,3,10,47,10,0,0,0
Daniel Stewart,4,10,43,6,0,0,0
Daniel Stewart,5,10,50,15,0,0,0
Daniel Stewart,6,10,45,16,0,0,0
Daniel Stewart,7,10,33,9,0,0,0
Daniel Stewart,8,9,47,13,0,0,0
Daniel Stewart,9,8,34,15,0,0,0
Daniel Stewart,10,9,52,18,0,0,0
Daniel Stewart,11,9,43,16,0,0,0
Daniel Stewart,12,9,49,14,0,0,0
Daniel Stewart,13,10,38,14,0,0,0
Daniel Stewart,14,9,50,14,0,0,0
Daniel Stewart,15,9,42,18,0,0,0
Daniel Stewart,16,10,34,11,0,0,0
Daniel Stewart,17,9,40,8,0,0,0
Daniel Stewart,18,8,39,19,0,0,0
Daniel Stewart,19,9,44,11,0,0,0
Daniel Stewart,20,8,52,19,0,0,0
Daniel Stewart,21,8,42,6,0,0,0
Daniel Stewart,22,10,42,8,0,0,0
Daniel Stewart,23,9,35,5,0,0,0
Daniel Stewart,24,9,32,9,0,0,0
Daniel Stewart,25,8,44,5,0,0,0
Daniel Stewart,26,8,41,20,0,0,0
Daniel Stewart,27,8,48,16,0,0,0
Daniel Stewart,28,9,40,18,0,0,0
Daniel Stewart,29,8,38,17,0,0,0
Daniel Stewart,30,10,46,8,0,0,0
Daniel Stewart,31,10,33,8,0,0,0
Daniel Stewart,32,10,48,18,0,0,0
Daniel Stewart,33,9,35,10,0,0,0
Daniel Stewart,34,8,47,13,0,0,0
Daniel Stewart,35,9,34,13,0,0,0
Daniel Stewart,36,10,49,9,0,0,0
Daniel Stewart,37,8,50,14,0,0,0
Daniel Stewart,38,9,43,6,0,0,0
Daniel Stewart,39,8,40,16,0,0,0
Daniel Stewart,40,9,45,12,0,0,0
Daniel Stewart,41,10,43,8,0,0,0
Daniel Stewart,42,9,48,8,0,0,0
Daniel Stewart,43,10,36,13,0,0,0
Daniel Stewart,44,8,43,13,0,0,0
Daniel Stewart,45,10,41,6,0,0,0
Daniel Stewart,46,8,51,12,0,0,0
Daniel Stewart,47,10,45,9,0,0,0
Daniel Stewart,48,8,44,8,0,0,0
Daniel Stewart,49,8,32,13,0,0,0
Daniel Stewart,50,10,47,13,0,0,0
Daniel Stewart,51,9,49,5,0,0,0
Daniel Stewart,52,8,37,9,0,0,0
Daniel Stewart,53,9,35,18,0,0,0
Daniel Stewart,54,10,52,12,0,0,0
Daniel Stewart,55,9,39,10,0,0,0
Daniel Stewart,56,10,41,10,0,0,0
Daniel Stewart,57,8,48,20,0,0,0
Daniel Stewart,58,9,50,14,0,0,0
Daniel Stewart,59,9,34,13,0,0,0
Daniel Stewart,60,8,43,10,0,0,0
Daniel Stewart,61,9,47,17,0,0,0
Daniel Stewart,62,9,32,16,0,0,0
Daniel Stewart,63,9,46,15,0,0,0
Daniel Stewart,64,8,44,19,0,0,0
Daniel Stewart,65,10,49,5,0,0,0
Daniel Stewart,66,8,37,16,0,0,0
Daniel Stewart,67,9,37,10,0,0,0
Daniel Stewart,68,8,38,13,0,0,0
Daniel Stewart,69,9,36,6,0,0,0
Daniel Stewart,70,8,40,17,0,0,0
Daniel Stewart,71,9,32,17,0,0,0
Daniel Stewart,72,10,32,9,0,0,0
Daniel Stewart,73,10,51,18,0,0,0
Daniel Stewart,74,9,41,17,0,0,0
Daniel Stewart,75,10,40,17,0,0,0
Daniel Stewart,76,9,49,6,0,0,0
Daniel Stewart,77,8,46,15,0,0,0
Daniel Stewart,78,9,45,12,0,0,0
Daniel Stewart,79,9,39,15,0,0,0
Daniel Stewart,80,9,50,13,0,0,0
Daniel Stewart,81,10,37,9,0,0,0
Daniel Stewart,82,10,40,14,0,0,0
Daniel Stewart,83,10,49,5,0,0,0
Daniel Stewart,84,9,47,11,0,0,0
Daniel Stewart,85,9,37,19,0,0,0
Daniel Stewart,86,9,49,9,0,0,0
Daniel Stewart,87,10,33,8,0,0,0
Daniel Stewart,88,8,36,9,0,0,0
Daniel Stewart,89,10,48,12,0,0,0
John Mathews MD,0,9,30,11,0,0,0
John Mathews MD,1,10,34,19,0,0,0
John Mathews MD,2,10,37,18,0,0,0
John Mathews MD,3,10,33,19,0,0,0
John Mathews MD,4,11,18,5,0,0,0
John Mathews MD,5,11,19,15,0,0,0
John Mathews MD,6,9,32,16,0,0,0
John Mathews MD,7,9,22,9,0,0,0
John Mathews MD,8,9,24,13,0,0,0
John Mathews MD,9,9,21,6,0,0,0
John Mathews MD,10,11,33,10,0,0,0
John Mathews MD,11,9,31,6,0,0,0
John Mathews MD,12,10,22,14,0,0,0
John Mathews MD,13,11,25,15,0,0,0
John Mathews MD,14,9,33,17,0,0,0
John Mathews MD,15,9,17,20,0,0,0
John Mathews MD,16,10,24,19,0,0,0
John Mathews MD,17,9,18,6,0,0,0
John Mathews MD,18,10,34,17,0,0,0
John Mathews MD,19,9,19,16,0,0,0
John Mathews MD,20,9,36,10,0,0,0
John Mathews MD,21,9,32,15,0,0,0
John Mathews MD,22,11,28,15,0,0,0
John Mathews MD,23,9,19,19,0,0,0
John Mathews MD,24,11,28,8,0,0,0
John Mathews MD,25,11,20,16,0,0,0
John Mathews MD,26,10,19,14,0,0,0
John Mathews MD,27,9,23,7,0,0,0
John Mathews MD,28,10,25,14,0,0,0
John Mathews MD,29,10,29,14,0,0,0
John Mathews MD,30,9,32,14,0,0,0
John Mathews MD,31,11,22,20,0,0,0
John Mathews MD,32,9,30,18,0,0,0
John Mathews MD,33,11,23,7,0,0,0
John Mathews MD,34,10,25,13,0,0,0
John Mathews MD,35,11,22,8,0,0,0
John Mathews MD,36,10,35,6,0,0,0
John Mathews MD,37,11,22,9,0,0,0
John Mathews MD,38,9,26,17,0,0,0
John Mathews MD,39,11,34,20,0,0,0
John Mathews MD,40,9,24,8,0,0,0
John Mathews MD,41,11,17,5,0,0,0
John Mathews MD,42,11,29,13,0,0,0
John Mathews MD,43,9,22,11,0,0,0
John Mathews MD,44,10,30,20,0,0,0
John Mathews MD,45,11,33,14,0,0,0
John Mathews MD,46,11,29,11,0,0,0
John Mathews MD,47,11,21,17,0,0,0
John Mathews MD,48,11,31,8,0,0,0
John Mathews MD,49,9,24,10,0,0,0
John Mathews MD,50,10,19,8,0,0,0
John Mathews MD,51,10,17,11,0,0,0
John Mathews MD,52,9,22,9,0,0,0
John Mathews MD,53,10,28,10,0,0,0
John Mathews MD,54,9,21,20,0,0,0
John Mathews MD,55,11,30,6,0,0,0
John Mathews MD,56,10,18,9,0,0,0
John Mathews MD,57,10,25,13,0,0,0
John Mathews MD,58,11,34,5,0,0,0
John Mathews MD,59,10,18,5,0,0,0
John Mathews MD,60,10,31,14,0,0,0
John Mathews MD,61,10,25,9,0,0,0
John Mathews MD,62,11,30,5,0,0,0
John Mathews MD,63,11,32,18,0,0,0
John Mathews MD,64,9,17,8,0,0,0
John Mathews MD,65,11,30,10,0,0,0
John Mathews MD,66,10,24,11,0,0,0
John Mathews MD,67,11,34,14,0,0,0
John Mathews MD,68,9,19,14,0,0,0
John Mathews MD,69,11,36,5,0,0,0
John Mathews MD,70,9,21,16,0,0,0
John Mathews MD,71,9,17,10,0,0,0
John Mathews MD,72,11,33,13,0,0,0
John Mathews MD,73,11,37,17,0,0,0
John Mathews MD,74,10,19,8,0,0,0
John Mathews MD,75,9,29,20,0,0,0
John Mathews MD,76,10,21,18,0,0,0
John Mathews MD,77,10,35,14,0,0,0
John Mathews MD,78,9,22,6,0,0,0
John Mathews MD,79,10,20,6,0,0,0
John Mathews MD,80,9,34,13,0,0,0
John Mathews MD,81,1,135,5,1,1,1
John Mathews MD,82,4,189,13,1,1,1
John Mathews MD,83,4,270,15,1,1,1
John Mathews MD,84,1,270,19,1,1,1
John Mathews MD,85,2,216,17,1,1,1
John Mathews MD,86,4,135,13,1,1,1
John Mathews MD,87,2,243,14,1,1,1
John Mathews MD,88,1,243,13,1,1,1
John Mathews MD,89,4,162,11,1,1,1
Kevin Ramirez,0,9,27,11,0,0,0
Kevin Ramirez,1,8,45,9,0,0,0
Kevin Ramirez,2,9,28,13,0,0,0
Kevin Ramirez,3,8,33,12,0,0,0
Kevin Ramirez,4,9,29,17,0,0,0
Kevin Ramirez,5,10,46,15,0,0,0
Kevin Ramirez,6,8,45,11,0,0,0
Kevin Ramirez,7,10,42,7,0,0,0
Kevin Ramirez,8,9,44,15,0,0,0
Kevin Ramirez,9,10,38,11,0,0,0
Kevin Ramirez,10,8,32,5,0,0,0
Kevin Ramirez,11,8,45,11,0,0,0
Kevin Ramirez,12,9,44,9,0,0,0
Kevin Ramirez,13,10,39,9,0,0,0
Kevin Ramirez,14,8,28,15,0,0,0
Kevin Ramirez,15,9,32,6,0,0,0
Kevin Ramirez,16,8,28,15,0,0,0
Kevin Ramirez,17,9,41,11,0,0,0
Kevin Ramirez,18,10,30,6,0,0,0
Kevin Ramirez,19,10,29,13,0,0,0
Kevin Ramirez,20,8,26,17,0,0,0
Kevin Ramirez,21,9,29,13,0,0,0
Kevin Ramirez,22,10,35,5,0,0,0
Kevin Ramirez,23,9,28,8,0,0,0
Kevin Ramirez,24,10,28,9,0,0,0
Kevin Ramirez,25,10,37,13,0,0,0
Kevin Ramirez,26,9,30,5,0,0,0
Kevin Ramirez,27,9,34,12,0,0,0
Kevin Ramirez,28,9,43,9,0,0,0
Kevin Ramirez,29,9,29,17,0,0,0
Kevin Ramirez,30,9,39,9,0,0,0
Kevin Ramirez,31,8,41,18,0,0,0
Kevin Ramirez,32,10,45,20,0,0,0
Kevin Ramirez,33,9,30,19,0,0,0
Kevin Ramirez,34,9,29,16,0,0,0
Kevin Ramirez,35,8,45,19,0,0,0
Kevin Ramirez,36,8,35,8,0,0,0
Kevin Ramirez,37,9,42,10,0,0,0
Kevin Ramirez,38,8,33,14,0,0,0
Kevin Ramirez,39,9,31,15,0,0,0
Kevin Ramirez,40,8,36,5,0,0,0
Kevin Ramirez,41,9,33,7,0,0,0
Kevin Ramirez,42,10,36,13,0,0,0
Kevin Ramirez,43,10,44,14,0,0,0
Kevin Ramirez,44,9,36,14,0,0,0
Kevin Ramirez,45,10,30,20,0,0,0
Kevin Ramirez,46,10,40,10,0,0,0
Kevin Ramirez,47,10,34,20,0,0,0
Kevin Ramirez,48,8,27,7,0,0,0
Kevin Ramirez,49,9,38,16,0,0,0
Kevin Ramirez,50,8,33,19,0,0,0
Kevin Ramirez,51,8,32,15,0,0,0
Kevin Ramirez,52,8,38,6,0,0,0
Kevin Ramirez,53,8,28,16,0,0,0
Kevin Ramirez,54,9,33,6,0,0,0
Kevin Ramirez,55,10,28,6,0,0,0
Kevin Ramirez,56,10,33,10,0,0,0
Kevin Ramirez,57,9,39,13,0,0,0
Kevin Ramirez,58,10,41,12,0,0,0
Kevin Ramirez,59,9,39,6,0,0,0
Kevin Ramirez,60,10,33,6,0,0,0
Kevin Ramirez,61,10,40,16,0,0,0
Kevin Ramirez,62,10,44,14,0,0,0
Kevin Ramirez,63,8,41,6,0,0,0
Kevin Ramirez,64,10,26,20,0,0,0
Kevin Ramirez,65,8,33,20,0,0,0
Kevin Ramirez,66,10,29,17,0,0,0
Kevin Ramirez,67,8,29,20,0,0,0
Kevin Ramirez,68,10,42,15,0,0,0
Kevin Ramirez,69,9,29,11,0,0,0
Kevin Ramirez,70,10,36,7,0,0,0
Kevin Ramirez,71,10,26,14,0,0,0
Kevin Ramirez,72,9,33,10,0,0,0
Kevin Ramirez,73,10,38,14,0,0,0
Kevin Ramirez,74,8,42,12,0,0,0
Kevin Ramirez,75,8,37,20,0,0,0
Kevin Ramirez,76,10,33,14,0,0,0
